Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Image,Link,Alcohol/Vol,Made In,Varietal,By,Release Date,Lat,Lon,Savings,Sugar Content (g/L),Category Name,Varietal Name,Segment
 Pelee Island Pinot Grigio,10.95,9.95,4.6,5,  750 ml bottle ,"A perfect addition when hosting, this offering has lively aromas and flavours of nuts, fresh fig, herbs and toast. Medium-bodied and fresh, it finishes with vibrant acidity and echoes the nuts and fig notes.",7,https://aem.lcbo.com/content/dam/lcbo/products/6/2/1/2/621219.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/pelee-island-pinot-grigio-621219,11.90%,  Canada ,36,Pelee Island,0,61.0666922,-107.991707,1,8,White Wine,Pinot Grigio,4
 Mezzacorona Pinot Grigio,16.5,14.5,4.3,4,  750 ml bottle ,"Pale straw colour; fresh, berry, cantaloupe and fruity pear nose with a touch of spice; medium body, clean and fresh with berry and melon flavours and pear and spice on the finish.",7,https://aem.lcbo.com/content/dam/lcbo/products/3/0/2/3/302380.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/mezzacorona-pinot-grigio-302380,12.50%," Trentino,   Italy ",36,Mezzacorona,0,46.131509,10.880622,2,4,White Wine,Pinot Grigio,4
 Voga Pinot Grigio IGT,16.55,15.55,4.3,4,  750 ml bottle ,"Pale straw colour; lifted aromas and flavours of nuts, sourdough bread and citrus fruit; extra dry, light to medium weight with soft acidity.",7,https://aem.lcbo.com/content/dam/lcbo/products/6/6/9/2/669226.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/voga-pinot-grigio-igt-669226,12.00%," Veneto,   Italy ",36,Voga,0,45.6476663,11.8665254,1,7,White Wine,Pinot Grigio,4
 Peller Family Vineyards Pinot Grigio,46.95,43.95,5,3,  4000 ml bagnbox ,"Easy drinking, refreshing white wine, sourced from vineyards in Canada and around the world. Shows aromas of cantaloupe, yellow berries and pear with a hint of chocolate. Extra dry, medium-bodied with refreshing melon, berries and pear flavours. Perfect for casual sipping or pair with light fare, salads and appetizers.",7,https://aem.lcbo.com/content/dam/lcbo/products/6/6/9/4/669465.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/peller-family-vineyards-pinot-grigio-669465,13.30%,  Canada ,36,Peller Family Vineyards,0,61.0666922,-107.991707,3,6,White Wine,Pinot Grigio,3
 Jackson-Triggs Pinot Grigio,12.95,11.95,4.3,11,  750 ml bottle ,"From an award-winning winery comes this light and lively pinot grigio, offered in a range of sizes for all occasions. Pouring a pale lemon colour, look for aromas and flavours of lifted, fresh cantaloupe, ginger and spice. Moderate acidity makes this fresh, it is extra-dry on that palate with a clean finish.",7,https://aem.lcbo.com/content/dam/lcbo/products/6/2/1/1/621110.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/jackson-triggs-pinot-grigio-621110,12.10%,  Canada ,36,Jackson-Triggs,0,61.0666922,-107.991707,1,7,White Wine,Pinot Grigio,4
 Argento Estate Bottled Pinot Grigio,24,21,4,4,  1500 ml bottle ,Pale straw colour; peach and tropical fruit aromas; extra dry palate with medium body and crisp flavours.,7,https://aem.lcbo.com/content/dam/lcbo/products/4/0/6/8/406850.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/argento-seleccion-pinot-grigio-406850,12.50%," Mendoza,   Argentina ",36,Argento,0,-32.8894155,-68.8446177,3,5,White Wine,Pinot Grigio,4
 G. Marquis The Red Line Pinot Grigio VQA,14.95,13.7,4.5,2,  750 ml bottle ,"Straw yellow colour; floral, citrus, smoky and nutty aromas; extra dry, medium-plus body; round citrus, smoke, nuts and fresh fig flavours with fresh finish.",7,https://aem.lcbo.com/content/dam/lcbo/products/2/7/6/5/276501.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/g-marquis-the-red-line-pinot-grigio-vqa-276501,13.50%," Ontario,   Canada ",36,G. Marquis,0,50.000678,-86.000977,1.25,6,White Wine,Pinot Grigio,4
 Cavit Collection Pinot Grigio DOC Venezie,27.95,24.95,0,0,  1500 ml bottle ,"Sustainably grown in mountainous northern Italy, this is a best-selling pinot grigio, with flavours of green pear, light floral element, cantaloupe and quince. It's light-plus bodied, extra dry and notably food-friendly. Serve well-chilled as an aperitif, or serve with pasta, veal, chicken or seafood.",7,https://aem.lcbo.com/content/dam/lcbo/products/0/3/0/9/030959.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/cavit-collection-pinot-grigio-doc-venezie-30959,12.50%," Alto Adige-Trentino,   Italy ",36,0,0,44.12872,10.93718,3,7,White Wine,Pinot Grigio,4
 Ciao Pinot Grigio Organic Carton,12.9,11.4,4.7,7,  1000 ml tetra ,"A lovely, easy-drinking wine available in a lightweight, environmentally friendly package. Youthful, light straw colour. Fruity yellow pear and white melon on the nose with bright floral and mineral overtones. The palate is fresh and focused with appealing flavours of pear and melon and lightly spicy/minerally notes.",7,https://aem.lcbo.com/content/dam/lcbo/products/6/6/9/2/669200.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/ciao-pinot-grigio-organic-carton-669200,12.00%," Veneto,   Italy ",36,Ciao Organic,0,45.6476663,11.8665254,1.5,7,White Wine,Pinot Grigio,4
 Barone Montalto Pinot Grigio,21.95,18.95,4.7,3,  1500 ml bottle ,"Barone Montalto has been making consumer-friendly wines since 2000. Anticipate lovely notes of grapefruit, pear, and white peach. On the palate, it reveals notes of lemon drop and fresh green herbs. It's light-bodied with lively acidity and a refreshingly crisp finish. Pair alongside mushroom risotto a charcuterie board.",7,https://aem.lcbo.com/content/dam/lcbo/products/0/1/9/9/019922.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/barone-montalto-pinot-grigio-19922,12.00%," Sicily,   Italy ",36,Barone Montalto,0,37.587794,14.155048,3,6,White Wine,Pinot Grigio,4
 Folonari Pinot Grigio Delle Venezie DOC,52.85,47.85,4.5,8,  3000 ml bagnbox ,"Made in stainless steel tanks to preserve and accentuate its fresh character. Pale lemon colour, with inviting aromas of bread dough, nuts, citrus and light floral notes. Juicy on the palate with fresh fruit flavours matched by balanced acidity and hints of minerality that lead to a clean finish.",7,https://aem.lcbo.com/content/dam/lcbo/products/4/9/2/1/492116.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/folonari-pinot-grigio-delle-venezie-doc-492116,12.00%,  Italy ,36,Folonari,0,42.6384261,12.674297,5,5,White Wine,Pinot Grigio,3
 McGuigan Black Label Pinot Grigio,12.95,10.95,5,2,  750 ml bottle ,"McGuigan Pinot Grigio offers good varietal character with nuts, fresh bread, grapefruit, floral and spice aromas and a balanced dry palate. Relatively low in acidity and light-plus in body, the palate offers flavours of nuts and grapefruit with a pleasing touch of spice on the finish.",7,https://aem.lcbo.com/content/dam/lcbo/products/4/4/1/5/441576.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/mcguigan-black-label-pinot-grigio-441576,11.50%,  Australia ,36,McGuigan,0,-24.7761086,134.755,2,9,White Wine,Pinot Grigio,4
 Yellow Tail Pinot Grigio,26,24,5,1,  1500 ml bottle ,"Pale straw colour; aromas of nuts, floral note, spice, mushrooms and herbs; dry, medium bodied, with mellow acidity, and delicate flavours of herbs and nuts.",7,https://aem.lcbo.com/content/dam/lcbo/products/6/3/4/4/634410.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/yellow-tail-pinot-grigio-634410,11.50%,  Australia ,36,Yellow Tail,0,-24.7761086,134.755,2,11,White Wine,Pinot Grigio,4
 Mindful Pinot Grigio VQA,13.95,12.45,3.8,6,  750 ml bottle ,"This delightful pinot grigio bursts with aromas and flavours of ripe peach, pear, and apple, along with hints of melon and white flower. Light-bodied and crisp with a long-lasting finish. Enjoy with coconut lentil curry or avocado pesto pasta.",7,https://aem.lcbo.com/content/dam/lcbo/products/0/2/5/4/025461.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/mindful-pinot-grigio-vqa-25461,8.00%," Ontario,   Canada ",36,Mindful Wines,0,50.000678,-86.000977,1.5,4,White Wine,Pinot Grigio,4
 Angels Gate Pinot Gris VQA,15.95,14.45,4.7,3,  750 ml bottle ,"Pale straw colour; lifted, fig and  smoke aromas with hints of pear and nuts;  extra dry and fresh with a nice balance of fruit and acidity on the palate.",7,https://aem.lcbo.com/content/dam/lcbo/products/3/3/1/2/331215.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/angels-gate-pinot-gris-vqa-331215,13.50%," Ontario,   Canada ",37,Angels Gate,0,50.000678,-86.000977,1.5,4,White Wine,Pinot Gris,4
 Bread & Butter Pinot Noir,19.95,17.95,3.4,28,  750 ml bottle ,"Based in California's Napa Valley, Bread & Butter makes easy-going and approachable wines for everyday occasions year round. This pinot noir shows generous fruit with notes of oak toast, mixed berries and red plum. Floral and nutty hints grace a long, silky finish. Serve with grilled salmon, duck breast or mushroom risotto.",3,https://aem.lcbo.com/content/dam/lcbo/products/0/1/3/6/013686.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/bread-butter-pinot-noir-13686,13.50%," California,   United States ",38,Bread & Butter,0,36.7014631,-118.755997,2,7,Red Wine,Pinot Noir,1
 Belle Glos Clark & Telephone Pinot Noir 2019,59.95,54.95,4.3,3,  750 ml bottle ,"The 2019 Pinot Noir Clark & Telephone is a potent, heady wine. Black cherry, plum, chocolate, spice and leather give this opulent Pinot tons of fruit intensity and pure volume. Martini clone Pinot lends quite a bit of aromatic complexity to this juicy, flamboyant Pinot. Rose petal, lavender and spice linger. Belle Glos is Joe Wagner's Pinot Noir project. The wines are made from sites throughout California. Readers should expect bold, sumptuous Pinots built on richness and overt fruit. It's a style that works best where sites naturally produce that style of fruit. Drinking window: 2023-2031. Score - 92. (Antonio Galloni, vinous.com, Jan. 2022)",3,https://aem.lcbo.com/content/dam/lcbo/products/6/5/2/8/652883.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/belle-glos-clark-telephone-pinot-noir-2018-652883,14.90%," California,   United States ",38,Belle Glos,"  September†10,†2022  ",36.7014631,-118.755997,5,7,Red Wine,Pinot Noir,3
 13th Street Burger Blend Gamay Noir Pinot Noir VQA,15.95,13.95,3.8,5,  750 ml bottle ,"This offering from the award-winning winery is a blend of gamay and pinot noir. This wine pours bright ruby and it has vibrant aromas and flavours of lifted spice and red fruit, cured meats and watermelon. Medium-bodied, dry, with finely textured tannins, this is ideal for grilled burgers and French fries.",3,https://aem.lcbo.com/content/dam/lcbo/products/4/1/9/9/419945.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/13th-street-burger-blend-gamay-pinot-noir-vqa-419945,13.50%," Ontario,   Canada ",39,13th Street,0,50.000678,-86.000977,2,5,Red Wine,Pinot Noir Blend,1
 The Wanted Zin Old Vines Zinfandel IGT,18,15,4.5,14,  750 ml bottle ,"You'll want this Italian zinfandel in your collection. Deep ruby with a garnet rim. Upfront aromas of prune, toasty oak, chocolate, and honey. It's full-bodied and fruity with a juicy mid-palate filled with flavours of dried fruit, toast, chocolate and spice, fine tannins, and a lingering finish. Try with ribs or burgers.",3,https://aem.lcbo.com/content/dam/lcbo/products/4/1/6/4/416487.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/the-wanted-zin-old-vines-zinfandel-igt-416487,14.00%," Puglia,   Italy ",40,The Wanted,0,45.0731467,9.6455027,3,14,Red Wine,Primitivo,1
 Blu Giovello Prosecco,18,15.5,4.4,9,  750 ml bottle ,"The prosecco in the distinctive blue bottle. In the glass, it has bright aromas and flavours of white fruit - quince, starfruit, with a touch of nuts, honey and fresh pear. The palate is dry and refreshing with lively bubbles and Asian pear and tangy quince notes on the finish. Great on its own or paired with appetizers.",6,https://aem.lcbo.com/content/dam/lcbo/products/0/8/5/3/085316.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/blu-giovello-prosecco-85316,11.00%,  Italy ,41,Blu Giovello,0,42.6384261,12.674297,2.5,14,White Sparkling Wine,Prosecco,4
 Zonin Cuv√©e 1821 Prosecco DOC Brut,19.95,17.95,4.8,8,  750 ml bottle ,"Zone in on this lovely Prosecco. Pale straw with aromas and flavours of pear, melon, apple, and lime, along with a delicate floral note. It's light-bodied and fruity, with a soft spritz leading to a refreshingly crisp finish. Pair alongside fresh fruit and cheese platter, fruit flan, or enjoy as a starter.",6,https://aem.lcbo.com/content/dam/lcbo/products/2/7/7/1/277186.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/zonin-cuv-ce-1821-prosecco-doc-brut-277186,11.00%," Veneto,   Italy ",41,Zonin,0,45.6476663,11.8665254,2,14,White Sparkling Wine,Prosecco,4
 Astoria Prosecco,20.05,18.05,5,3,  750 ml bottle ,"Pale straw, light mousse; lifted, floral, yeasty and Asian pear aromas; dry, elegant with pleasant fruit flavours.",6,https://aem.lcbo.com/content/dam/lcbo/products/5/9/3/8/593855.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/astoria-prosecco-593855,11.00%,  Italy ,41,Astoria,0,42.6384261,12.674297,2,12,White Sparkling Wine,Prosecco,4
" Atelier Red, PGI Achaia",15.6,13.6,5,1,  750 ml bottle ,"The Mavro Kalavritino and Cabernet Sauvignon grapes are grown in the mountainous Corinthian Gulf region of the Peloponnese. The varietals are vinified separately, blended then aged in oak. Resulting in black and red berry fruit with notes of chocolate, vanilla and spice with firm tannins. Pair with meat stews.",3,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/4/015482.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/atelier-red-pgi-achaia-15482,12.50%," Achaia,   Greece ",42,Cavino,0,38.1051237,21.5640808,2,6,Red Wine,Red Blend,1
 Silk & Spice Red,15.85,13.85,4.3,23,  750 ml bottle ,"Portugal's heritage of exploration is celebrated in this easy-drinking red blend. Deep ruby, with aromas of black plum and berry reduction and lifted honeyed and spicy notes. On the palate, Silk & Spice lives up to its name; soft, supple and approachable, dry, with plum, jammy and spicy flavours.",3,https://aem.lcbo.com/content/dam/lcbo/products/5/3/3/3/533307.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/silk-spice-red-533307,13.50%,  Portugal ,42,Silk & Spice,0,39.6621648,-8.1353519,2,17,Red Wine,Red Blend,1
 Hopetown Wine Co. Hill House Craft Red VQA,14.95,12.95,3.6,5,  750 ml bottle ,"This medium-bodied VQA red shows concentrated aromas of mint, mocha, and plum. It displays ripe flavours of juicy red currant and blackberry and a fine-grained silky finish. Pair it with a hearty lamb stew or pasta with red sauce.",3,https://aem.lcbo.com/content/dam/lcbo/products/0/2/0/2/020258.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/hopetown-wine-co-hill-house-craft-red-vqa-20258,13.00%," Ontario,   Canada ",42,Hopetown Wine Co.,0,50.000678,-86.000977,2,6,Red Wine,Red Blend,1
 Diabolica Red VQA,15.95,13.95,3.9,9,  750 ml bottle ,"This devilishly flavourful red is bursting with upfront chocolate and prune aromas. Medium-bodied, with mellow acidity, the palate reveals layers of chocolate, prune preserve, smoke and mineral flavours. Soft and silky it finishes with a note reminiscent of Black Forest cake.",3,https://aem.lcbo.com/content/dam/lcbo/products/6/1/7/6/617662.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/diabolica-red-vqa-617662,13.00%," Ontario,   Canada ",42,Diabolica,0,50.000678,-86.000977,2,16,Red Wine,Red Blend,1
 Pelee Pebbles Red,16.95,15.95,1,1,  1500 ml bottle ,"Clear medium ruby in colour; aromas of ripe plum and black pepper, with underlying floral and herbal notes; extra dry and medium-bodied, with medium acidity and tannins; flavours of red plum with light spicy notes on a medium-length finish.",3,https://aem.lcbo.com/content/dam/lcbo/products/4/4/1/5/441519.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/pelee-pebbles-red-441519,12.50%,  Canada ,42,Pelee Pebbles,0,61.0666922,-107.991707,1,11,Red Wine,Red Blend,1
 Novas Gran Reserva Carm√©n√®re Cab Sauvignon Organic,19,16,4.5,4,  750 ml bottle ,"Deep ruby colour; bursting with aromas of chocolate, cassis, licorice and smoky oak; extra-dry, medium to full-bodied; predominant flavours of chocolate, cassis, spice and smoke; ripe, coating tannins and a warm lasting finish.",3,https://aem.lcbo.com/content/dam/lcbo/products/4/3/4/6/434662.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/novas-gran-reserva-carm-cn-rre-cab-sauvignon-organic-434662,14.50%," Colchagua Valley,   Chile ",42,Emiliana,0,-34.54958,-71.39939504,3,4,Red Wine,Red Blend,1
 Porta 6 Lisboa VR,13.95,11.95,4,8,  750 ml bottle ,"This fragrant, ripe and juicy red offers heady aromas of violets, coffee and dark fruit; the palate is medium-bodied, supple and dry with chewy tannins and flavours of coffee, blackberry, black plum, watermelon and herbs on a medium length finish.",3,https://aem.lcbo.com/content/dam/lcbo/products/4/2/7/3/427377.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/porta-6-lisboa-vr-427377,13.50%," Lisboa,   Portugal ",43,Vidigal,0,38.7077507,-9.1365919,2,10,Red Wine,Regional Blended Red,1
 La Vieille Ferme Luberon Blanc AOC,14.95,12.95,4.6,7,  750 ml bottle ,"In 1970 Jean-Pierre Perrin of the French winemaking Perrins, applied his know-how to create a tier of value, good quality wines under this label. Aromas of fresh pastry, yellow pear, peach and honey, mirrored on the extra dry, moderate acidity palate, leading to a fresh finish. Enjoy with roast chicken or soft cheeses.",7,https://aem.lcbo.com/content/dam/lcbo/products/2/9/8/5/298505.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/la-vieille-ferme-luberon-blanc-aoc-298505,13.00%," Rh√¥ne,   France ",44,La Vieille Ferme,0,45.8802348,4.56453363,2,2,White Wine,Regional Blended White,4
 Megalomaniac Local Squeeze White VQA,12.95,11.95,5,1,  750 ml bottle ,"Pale yellow colour; aromas of pine nuts, fresh quince, tobacco, mineral and citrus; dry and medium in body with crisp quince, nutty and citrus notes; medium finish.",7,https://aem.lcbo.com/content/dam/lcbo/products/3/5/7/4/357418.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/megalomaniac-local-squeeze-white-vqa-357418,11.10%," Ontario,   Canada ",45,Megalomaniac,0,50.000678,-86.000977,1,22,White Wine,Riesling,4
 Fielding Fireside White VQA,14.95,13.95,5,1,  750 ml bottle ,0,7,https://aem.lcbo.com/content/dam/lcbo/products/3/0/3/0/303040.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/fielding-fireside-white-vqa-303040,11.00%," Ontario,   Canada ",46,Fielding Estate,0,50.000678,-86.000977,1,19,White Wine,Riesling Blend,4
 Sandbanks Summer Ros√© VQA,14.95,12.95,0,0,  750 ml bottle ,"Established in Prince Edward County in 2001, Sandbanks Winery joined forces with Arterra Wines Canada in 2020. Their Summer Ros√© bursts with strawberry, mango and watermelon notes. It is lightly fizzy with a touch of sweetness. Enjoy with grilled shrimp in a garlic butter sauce or baked Camembert with balsamic strawberries.",4,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/8/014867.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/sandbanks-summer-ros-c-vqa-14867,11.60%," Ontario,   Canada ",48,Sandbanks,0,50.000678,-86.000977,2,27,Rose Wine,RosÈ,1
 La Vieille Ferme Rose Ventoux AOC,14.95,12.95,4.7,10,  750 ml bottle ,"Grapes grown on the slopes of France's Mont Ventoux ripen slowly at cooler temperatures, maintaining fruit flavours and fresh acidity. This wine is pale rose in colour, with upfront aromas of watermelon and red fruit. Extra dry and medium-bodied, with melon and red fruit flavours. Serve chilled with tarragon chicken.",4,https://aem.lcbo.com/content/dam/lcbo/products/6/2/2/1/622134.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/la-vieille-ferme-rose-ventoux-aoc-622134,13.00%," Rh√¥ne,   France ",48,La Vieille Ferme,0,45.8802348,4.56453363,2,2,Rose Wine,RosÈ,1
 Domaine Lafage Miraflors Rose Cotes Du Roussillon AOC,19.95,17.95,5,3,  750 ml bottle ,"Named after an old estate in the heart of Domaine Lafage. The combination of mourvedre and old vine grenache gris is aged in tank before bottling. The result is a pale salmon colour with an elegant bouquet of roses, strawberry and white peach, leading to a clean and pure palate that ends with crisp, refreshing flavours.",4,https://aem.lcbo.com/content/dam/lcbo/products/3/6/7/3/367375.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/la-fage-miraflors-rose-cotes-du-roussillon-aoc-367375,12.50%," Roussillon,   France ",48,Domaine Lafage,0,45.3735991,4.8124049,2,4,Rose Wine,RosÈ,1
 Speck Bros. Three of Hearts Ros√© VQA,19.95,17.95,4.8,6,  750 ml bottle ,"Made by Henry of Pelham, this Pinot Noir/Pinot Gris blend underwent cool fermentation in stainless steel to preserve the delicacy and precision of the fruit. The result is a food-friendly wine with bright, vivid red plum, ripe berry, nuts, mushroom and smoke. A fresh, lifted, balanced wine that would be excellent as a sipper or paired with grilled seafood or roast chicken.",4,https://aem.lcbo.com/content/dam/lcbo/products/5/5/2/5/552562.jpg.thumb.319.319.jpg,https://www.lcbo.com/en/speck-bros-three-of-hearts-ros-c-552562,12.00%," Ontario,   Canada ",48,Three of Hearts,"  May†27,†2023  ",50.000678,-86.000977,2,6,Rose Wine,RosÈ,1
